category,file,label,checkpoint,sample_dir,mean_pesq,mean_stoi,mean_snr_db,mean_wer,reference_text,mean_si_snr_db,sim,pivotal_distance,clean,masking,shuffling,replacing,neural,acc_before,acc_after,acc_drop,false_positive_rate,mean_presence_logit,sim_before,sim_after,sim_drop,pivotal_before,pivotal_after,detection_acc_before,detection_acc_after,detection_acc_drop,perturbation_linf_mean,perturbation_snr_db_mean,vctk_detection_acc
Audio quality (PESQ/STOI/SI-SNR),baseline_quality.json,./audio_samples/baseline,,./audio_samples/baseline,2.0426889955997467,0.9020351312173016,3.962773551232651,0.0,This is a test sentence for voice cloning.,,,,,,,,,,,,,,,,,,,,,,,,
Audio quality (PESQ/STOI/SI-SNR),baseline_quality_n25.json,./audio_samples/baseline_large,,./audio_samples/baseline_large,2.1500413274765013,0.9132741649200459,3.8059576413546568,0.035,This is a test sentence for voice cloning.,,,,,,,,,,,,,,,,,,,,,,,,
Audio quality (PESQ/STOI/SI-SNR),baseline_quality_n50.json,./audio_samples/baseline_n50,,./audio_samples/baseline_n50,2.1971018409729,0.9102820428598979,3.4257861535628304,0.045,This is a test sentence for voice cloning.,3.256481109420813,,,,,,,,,,,,,,,,,,,,,,,
Disruption (SIM),libritts_baseline_sim.json,baseline,,,,,,,,,0.42459637843645537,2.210702428450951,,,,,,,,,,,,,,,,,,,,,
Disruption (SIM),libritts_stage2_sim.json,./checkpoints/stage2_sim_longrun_recalibrated_v2/recalibrated_final.pt,./checkpoints/stage2_sim_longrun_recalibrated_v2/recalibrated_final.pt,,,,,,,,0.444780748624068,2.1912977328667274,,,,,,,,,,,,,,,,,,,,,
Audio quality (PESQ/STOI/SI-SNR),low_perturbation_quality_n50.json,./audio_samples/low_perturbation_n50,,./audio_samples/low_perturbation_n50,2.3827162647247313,0.9165177503649754,4.657368115615188,0.04,This is a test sentence for voice cloning.,3.2539798816251015,,,,,,,,,,,,,,,,,,,,,,,
Augmentation robustness,results_aug.json,./checkpoints/stage1_aug/stage1_epoch29.pt,./checkpoints/stage1_aug/stage1_epoch29.pt,,,,,,,,,,0.9776785714285714,0.9910714285714286,0.9821428571428571,0.9732142857142857,0.8638392857142857,,,,,,,,,,,,,,,,
Augmentation robustness,results_baseline.json,baseline,,,,,,,,,,,0.9866071428571429,0.9888392857142857,0.9866071428571429,0.9620535714285714,0.9508928571428571,,,,,,,,,,,,,,,,
AudioPure purification,results_baseline_audiopure.json,baseline,,,,,,,,,,,,,,,,0.9825,0.4875,0.49500000000000005,,,,,,,,,,,,,
False positive rate,results_baseline_fpr.json,baseline,,,,,,,,,,,,,,,,,,,0.04,-7.249554855674505,,,,,,,,,,,
Disruption (SIM),results_baseline_sim_run1.json,baseline,,,,,,,,,0.4703639057966379,1.8514314889907837,,,,,,,,,,,,,,,,,,,,,
Disruption (SIM),results_baseline_sim_run2.json,baseline,,,,,,,,,0.45515440519039446,1.874691733947167,,,,,,,,,,,,,,,,,,,,,
Disruption (SIM),results_baseline_sim_run3.json,baseline,,,,,,,,,0.45101650861593395,1.8733598635746882,,,,,,,,,,,,,,,,,,,,,
Augmentation robustness,results_noaug.json,./checkpoints/stage1_full/stage1_epoch29.pt,./checkpoints/stage1_full/stage1_epoch29.pt,,,,,,,,,,0.9799107142857143,0.9799107142857143,0.9776785714285714,0.9508928571428571,0.8883928571428571,,,,,,,,,,,,,,,,
Disruption (SIM),results_pgd_sim_stage1base_eps001_lwm1_run1.json,pgd_eps0.001_n10_lwm1.0_on_./checkpoints/stage1_full_recalibrated_v3/recalibrated_final.pt,./checkpoints/stage1_full_recalibrated_v3/recalibrated_final.pt,,,,,,,,0.2884263006540445,,,,,,,,,,,,0.4660843198116009,0.2884263006540445,0.1776580191575564,1.8657188782325158,1.7939231395721436,0.9951923076923077,1.0,-0.004807692307692291,0.0010000000474974513,39.3229680794936,
Disruption (SIM),results_pgd_sim_stage1base_eps002_lwm1_n100_run1.json,pgd_eps0.002_n10_lwm1.0_on_./checkpoints/stage1_full_recalibrated_v3/recalibrated_final.pt,./checkpoints/stage1_full_recalibrated_v3/recalibrated_final.pt,,,,,,,,0.22343418017029762,,,,,,,,,,,,0.4543608182668686,0.22343418017029762,0.23092663809657096,2.004695770740509,2.0240730357170107,0.996875,0.99875,-0.001875000000000071,0.0020000000949949026,32.67131552696228,
Disruption (SIM),results_pgd_sim_stage1base_eps002_lwm1_run1.json,pgd_eps0.002_n10_lwm1.0_on_./checkpoints/stage1_full_recalibrated_v3/recalibrated_final.pt,./checkpoints/stage1_full_recalibrated_v3/recalibrated_final.pt,,,,,,,,0.2507051080465317,,,,,,,,,,,,0.4539240736227769,0.2507051080465317,0.20321896557624525,1.8643822211485643,1.7963465727292574,0.9951923076923077,0.9951923076923077,0.0,0.0020000000949949026,33.30348253250122,
